,store_name,street_address,borough,zip_code,bbl,latitude,longitude
215,1408 Deli & Grocery Corp.,1408,Bronx,10456,2029320015.0,40.834741,-73.901771
216,2009 Melissa Deli Corp.,621,Bronx,10456,2029360001.0,40.834199,-73.900167
217,99 Cent Deli Square,3754,Bronx,10456,2029270007.0,40.836328,-73.902603
218,Associated Supermarket,724,Bronx,10456,2026470045.0,40.821432,-73.905183
219,Baraka African Market,1345,Bronx,10456,2028870165.0,40.835698,-73.907714
220,College Ave.  Deli and Market Inc.,288,Bronx,10456,2024350015.0,40.833333,-73.912802
221,First Food Market,3706,Bronx,10456,2029260002.0,40.835694,-73.903052
222,Food Bazaar,535,Bronx,10456,2029260002.0,40.834931,-73.903144
223,Key Food Supermarket.,340,Bronx,10456,,,
224,La Hermadad Supermarket Inc.,193,Bronx,10456,2024560181.0,40.832698,-73.917847
225,M&G Food Corp.,391,Bronx,10456,2024260048.0,40.830848,-73.910854
226,Soumandji Meat Fish Market,381,Bronx,10456,2027820147.0,40.834317,-73.909953
227,Z&F Deli Grocery,3321,Bronx,10456,2023697502.0,40.826215,-73.907857
228,Angelic Grocery and Deli Corp,305,Brooklyn,11207,3039980011.0,40.67425,-73.886974
229,Dama Food Market,2303,Brooklyn,11207,3039970034.0,40.673169,-73.887315
230,Danilo's Corp Deli Grocery,731,Brooklyn,11207,3043310059.0,40.662374,-73.884828
231,George Deli & Grocery,710,Brooklyn,11207,3042960039.0,40.659602,-73.893566
232,JLC Deli Grocery,653,Brooklyn,11207,3039680042.0,40.676038,-73.885551
233,Melissa Meat Market,772,Brooklyn,11207,3040410027.0,40.670122,-73.890085
234,Quezada Deli Grocery,570,Brooklyn,11207,3040730052.0,40.66582,-73.888567
235,Sajoma Deli Grocery,772,Brooklyn,11207,3043030037.0,40.661971,-73.887788
236,"VA Grocery & Deli Corp  
(Brother's Mini Market)",207,Brooklyn,11207,3015350057.0,40.679876,-73.908009
237,Wild Olive Market,10,New York,10035,1017490066.0,40.806215,-73.941807
238,Juan Calito Meat Corp./City Fresh,2212,New York,10035,1017697501.0,40.80083,-73.937926
239,Prince Deli Grocery,1461,New York,10035,1017450001.0,40.80211,-73.945394
240,TSM 2ND Ave Gourmet Deli,248,New York,10035,1017830028.0,40.799408,-73.937479
241,Fine Fare Supermarket,2330,New York,10035,1018070048.0,40.798278,-73.933731
242,Viva Deli,2330,New York,10035,1018070048.0,40.798278,-73.933731
243,Abdur Sami,2262,New York,10035,1016880001.0,40.797155,-73.937651
244,Mis Hijos,2401,New York,10035,1017880022.0,40.801484,-73.934425
245,Oasis Gourmet Deli,1966,New York,10035,1017500056.0,40.806313,-73.94024
246,Tasty Pick Deli & Grocery,1878,New York,10035,1016440156.0,40.799202,-73.94121
247,K&O Deli Grocery,2288,New York,10035,1016890004.0,40.797964,-73.937061
248,Finest Food Corp,315,New York,10035,1017100029.0,40.795527,-73.932824
249,2001 GOURMET DELI,2001,Bronx,10457,2030950057.0,40.846375,-73.888858
250,347 CHABELY DELI GROCERY,347,Bronx,10457,2027900057.0,40.843433,-73.905145
251,ALFONSOS DELI & GROCERY,2236,Bronx,10457,2031580001.0,40.856256,-73.90064
252,AMIGOS GROCERY,551,Bronx,10457,2029290082.0,40.839504,-73.899545
253,FELINO GROCERY,1836,Bronx,10457,2028030001.0,40.847412,-73.903704
254,FELOMAR GROCERY STORE,154,Bronx,10457,2027960028.0,40.846798,-73.908111
255,HABIBI DELI,2070,Bronx,10457,2030940014.0,40.847236,-73.888101
256,LOS PALMARITOS DELI GROCERY,2080,Bronx,10457,2031440001.0,40.852753,-73.899897
257,PAULINO GROCERY,4378,Bronx,10457,2030620001.0,40.850821,-73.893958
258,SAER & JAMAL MARKET 2,563,Bronx,10457,2030600050.0,40.846509,-73.894814
259,CONCOURSE FOOD PLAZA,2096,Bronx,10457,2031560102.0,40.854042,-73.902295
260,305 GROCERY DELI,305,Bronx,10457,2031440045.0,40.854045,-73.899172
261,551 REY FOOD,551,Bronx,10457,2030610036.0,40.847528,-73.894599
262,ALANTE ALANTE DELI GROCERY,207,Bronx,10457,2028040001.0,40.84833,-73.905669
263,BANESA DELI GROCERY 2,2007,Bronx,10457,2028130001.0,40.851468,-73.902885
264,BODEGA BUILT,601,Bronx,10457,2030700001.0,40.849394,-73.891375
265,CHICKEN DELI GROCERY,555,Bronx,10457,2030620015.0,40.850351,-73.893326
266,JJN CORP,1512,Bronx,10457,2029120001.0,40.837956,-73.90315
267,LOS PRIMOS DELI GROCERY,1798,Bronx,10457,2029480001.0,40.842792,-73.893526
268,ZAEL DELI & GROCERY,2160,Bronx,10457,2031430130.0,40.854091,-73.898554
269,FINE FARE SUPERMARKET,708,Bronx,10457,2029500054.0,40.845227,-73.890771
270,C & T DELI GROCERY STORE,2275,Bronx,10457,2030380027.0,40.855028,-73.893336
271,C-TOWN,309,Bronx,10457,2031490068.0,40.850588,-73.901133
272,LOS PRIMOS GROCERY,1965,Bronx,10457,2031420094.0,40.849462,-73.899949
273,269 MINI MARKET & DELI,269,Bronx,10457,2031567501.0,40.851333,-73.902133
274,JR 2121 DELI GROCERY,2121,Bronx,10457,2030810013.0,40.849172,-73.889446
275,BBB DELI GROCERY,214B,Bronx,10457,2031560018.0,40.853232,-73.901971
276,DIAZ DELI GROCERY,306,Bronx,10457,2028140029.0,40.849999,-73.902497
277,LA ANTILLANA MEAT WAREHOUSE,245,Bronx,10457,2028090045.0,40.848922,-73.904407
278,JADE FOOD CENTER,3822,Bronx,10457,2029280012.0,40.837875,-73.901412
279,OJ DELI GROCERY,230,Bronx,10457,2027920037.0,40.84472,-73.907427
280,LA BODEGUITA DE ROSAURA,160,Bronx,10457,2027940042.0,40.844817,-73.909238
281,EXPRESS MARKET,469,Bronx,10457,2030340046.0,40.847075,-73.898247
282,3 Sisters Deli Grocery,269,Brooklyn,11212,3035600048.0,40.664065,-73.909566
283,702 Livonia Ave Deli,702,Brooklyn,11212,3035750001.0,40.662769,-73.908984
284,Chester Food Market,241,Brooklyn,11212,3035430001.0,40.665518,-73.910487
285,MJT Grocery Store,666,Brooklyn,11212,3035750011.0,40.663255,-73.909106
286,Blessings Food Corp.,578,Brooklyn,11212,3035430043.0,40.665951,-73.909795
287,Rockaway Deli Food Corp.,674,Brooklyn,11212,3035750011.0,40.663148,-73.909077
288,El Especial Deli & Gril,774,Brooklyn,11212,3036027501.0,40.66071,-73.908457
289,Friendly Food & Grocery,784,Brooklyn,11212,3035820032.0,40.661305,-73.91542
290,Sanaa Express Grocery,245,Brooklyn,11212,3035900001.0,40.661129,-73.907812
291,Cherry Valley,381,Brooklyn,11212,3037260008.0,40.669745,-73.906859
292,Jamao Grocery,174,Brooklyn,11212,3035570025.0,40.665097,-73.913206
293,Los Primos Grocery,57,Brooklyn,11212,3035100076.0,40.665613,-73.920587
294,39 Lott Grocery,39,Brooklyn,11212,,,
295,51 Deli & Grocery NYC,51,Brooklyn,11212,3036220001.0,40.655828,-73.910331
296,77 Hegeman Mini Market,77,Brooklyn,11212,3036230001.0,40.655981,-73.909322
297,Glen Deli & Grocery,55,Brooklyn,11212,3036230008.0,40.655883,-73.909981
298,Associated supermarket,103,Brooklyn,11212,3036250004.0,40.656153,-73.908172
299,Hidayat Deli Grocery,1111,Brooklyn,11212,3046000038.0,40.664805,-73.923119
300,T&L Deli & Grocery,1067,Brooklyn,11212,3045990043.0,40.663944,-73.924439
301,Bravo Supermarket,80,Brooklyn,11212,3045950215.0,40.662455,-73.926964
302,Associated Supermarket,190,Brooklyn,11212,3046330013.0,40.66264,-73.92032
303,Boston MiniMarket,9424,Brooklyn,11212,3046490040.0,40.658474,-73.920581
304,Clarkson Food,1125,Brooklyn,11212,3046310038.0,40.660467,-73.92113
305,New Way Supermarket,1167,Brooklyn,11212,3046520039.0,40.659951,-73.917592
306,Star Two Deli,994,Brooklyn,11212,3046260006.0,40.659738,-73.926577
307,Ameer Food Market,9527,Brooklyn,11212,3046920044.0,40.655331,-73.916044
308,El Flaco Food,1093,Brooklyn,11212,3046900010.0,40.654327,-73.917775
309,La Linda Deli Grocery,1157,Brooklyn,11212,3046720034.0,40.658163,-73.915979
310,9323 Linden Deli Food,9323,Brooklyn,11212,3046900001.0,40.654538,-73.917263
311,420 Royal Deli,420B,Brooklyn,11212,,40.668668,-73.906604
312,Leonardo Deli Grocery,441,Brooklyn,11212,3037430007.0,40.668248,-73.906479
313,C-Town,29,Brooklyn,11212,3035230037.0,40.668607,-73.909221
314,Moreno Mini Market,113,Brooklyn,11212,3037260034.0,40.669077,-73.906038
