,building_id,borough,street_name,house_number,project_id,latitude,longitude
2370,809381.0,Brooklyn,SCHROEDERS AVENUE,130,67403,40.648365,-73.880214
2371,809382.0,Brooklyn,SCHROEDERS AVENUE,160,67403,40.648735,-73.879612
2372,809383.0,Brooklyn,SEAVIEW AVENUE,11245,67403,40.642709,-73.878444
2373,809384.0,Brooklyn,SEAVIEW AVENUE,11275,67403,40.643527,-73.877874
2374,809385.0,Brooklyn,SEAVIEW AVENUE,11325,67403,40.64481,-73.877032
2375,809708.0,Brooklyn,TWIN PINES DRIVE,45,67403,40.64742,-73.884014
2376,809732.0,Brooklyn,VANDALIA AVENUE,130,67403,40.651388,-73.883355
2377,809733.0,Brooklyn,VANDALIA AVENUE,20,67403,40.649498,-73.887189
2378,809734.0,Brooklyn,VANDALIA AVENUE,225,67403,40.652718,-73.88216
2379,809735.0,Brooklyn,VANDALIA AVENUE,50,67403,40.649942,-73.886504
2380,861512.0,Staten Island,SKYLINE DRIVE,302A,67424,40.613053,-74.078875
2381,874545.0,Staten Island,SKYLINE DRIVE,330,67424,40.612789,-74.079616
2382,965482.0,Staten Island,CIRCLE LOOP,106,67424,40.613154,-74.079945
2383,965757.0,Staten Island,CIRCLE LOOP,46,67424,40.613569,-74.079128
2384,984920.0,Staten Island,CIRCLE LOOP,121,67424,40.612855,-74.079894
2385,984923.0,Staten Island,SKYLINE DRIVE,361A,67424,40.612556,-74.08011
2386,984924.0,Staten Island,SKYLINE DRIVE,295E,67424,40.613034,-74.0789
2387,974942.0,Brooklyn,ECKFORD STREET,12,63282,40.720686,-73.947835
2388,438760.0,Queens,49 AVENUE,27-Nov,67317,,
2389,978829.0,Brooklyn,DEBEVOISE STREET,40,65543,40.701719,-73.941311
2390,977988.0,Brooklyn,ST JOHNS PLACE,564,67318,40.67286,-73.959502
2391,982142.0,Brooklyn,ST JOHNS PLACE,806,67319,40.671688,-73.951398
2392,,Bronx,----,----,67229,,
2393,909545.0,Brooklyn,MADISON STREET,951,67320,40.6886,-73.919442
2394,983883.0,Brooklyn,NOSTRAND AVENUE,1544,67321,40.648515,-73.949336
2395,983972.0,Bronx,PARK AVENUE,3500,63800,40.831359,-73.908259
2396,982705.0,Brooklyn,LINCOLN ROAD,31,67322,40.660756,-73.961621
2397,,Bronx,----,----,67189,,
2398,398980.0,Brooklyn,WYTHE AVENUE,321,67323,40.71394,-73.965288
2399,984071.0,Brooklyn,MANHATTAN AVENUE,1050,66947,40.734693,-73.954986
2400,,Brooklyn,----,----,67228,,
2401,211203.0,Brooklyn,BOX STREET,56,67324,40.737379,-73.954309
2402,984919.0,Brooklyn,FOUNTAIN AVENUE,894,67423,40.655989,-73.863788
2403,327731.0,Brooklyn,LINDEN STREET,359,67325,40.699802,-73.913128
2404,972569.0,Bronx,RIVERDALE AVENUE,3190,67291,40.882521,-73.908597
2405,107668.0,Bronx,ROWLAND STREET,1415,62163,40.837935,-73.845895
2406,45204.0,Bronx,AMETHYST STREET,1906,62208,40.84738,-73.868261
2407,45205.0,Bronx,AMETHYST STREET,1908,62208,40.847418,-73.868246
2408,,Queens,----,----,67226,,
2409,,Queens,----,----,67227,,
2410,973786.0,Brooklyn,METROPOLITAN AVENUE,878,67292,40.714632,-73.93977
2411,978521.0,Brooklyn,BARTLETT STREET,89,67293,40.702105,-73.944975
2412,868328.0,Brooklyn,PROSPECT PLACE,730,67294,40.674416,-73.952154
2413,,Bronx,----,----,67225,,
2414,520820.0,Queens,109 ROAD,190-17,65453,40.703522,-73.766095
2415,522819.0,Queens,111 AVENUE,202-02,65453,40.704569,-73.754564
2416,594222.0,Queens,203 STREET,99-19,65453,40.711933,-73.757054
2417,978919.0,Manhattan,WEST 29 STREET,211,65775,40.748126,-73.993533
2418,,Queens,----,----,67224,,
2419,101492.0,Bronx,PARKVIEW AVENUE,1701,67295,40.846841,-73.827907
2420,979712.0,Brooklyn,DRIGGS AVENUE,658,65649,40.714663,-73.959
2421,982106.0,Brooklyn,DRIGGS AVENUE,625,65649,40.715286,-73.958303
2422,51658.0,Bronx,BROADWAY,5959,67296,40.888954,-73.898533
2423,972764.0,Brooklyn,EASTERN PARKWAY EXTENSION,1860,61575,40.675822,-73.908126
2424,843098.0,Manhattan,WEST 115 STREET,121,61630,40.80166,-73.950932
2425,,Staten Island,----,----,67161,,
2426,971280.0,Brooklyn,ROGERS AVENUE,85,67297,40.674804,-73.952809
2427,895471.0,Brooklyn,FLATBUSH AVENUE,510,67298,40.661923,-73.961602
2428,974817.0,Brooklyn,DE KALB AVENUE,867,67299,40.6925,-73.941633
2429,104796.0,Bronx,PURDY STREET,1364,67300,40.835084,-73.852992
2430,,Brooklyn,----,----,67158,,
2431,977366.0,Brooklyn,LINDEN BOULEVARD,212,67337,40.652565,-73.95107
