,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
349,Non Prevailing Wage,1,0,0,0,0,70760
350,Non Prevailing Wage,12,0,0,88,1,69878
351,Non Prevailing Wage,1,0,0,0,0,70759
352,Non Prevailing Wage,0,3,0,0,0,70860
353,Non Prevailing Wage,0,3,0,0,0,70860
354,Non Prevailing Wage,29,0,20,0,1,71060
355,Non Prevailing Wage,27,0,0,0,0,67268
356,Non Prevailing Wage,0,337,0,0,0,70840
357,Non Prevailing Wage,0,7,0,0,0,70857
358,Non Prevailing Wage,0,3,0,0,0,70859
359,Non Prevailing Wage,0,3,0,0,0,70855
360,Non Prevailing Wage,0,0,0,0,1,70751
361,Non Prevailing Wage,1,0,0,0,0,70752
362,Non Prevailing Wage,0,17,0,0,0,70854
363,Non Prevailing Wage,0,3,0,0,0,70850
364,Non Prevailing Wage,0,13,0,0,0,70852
365,Non Prevailing Wage,0,3,0,0,0,70847
366,Non Prevailing Wage,1,0,0,0,0,70748
367,Non Prevailing Wage,0,0,0,0,1,70749
368,Non Prevailing Wage,0,3,0,0,0,70862
369,Non Prevailing Wage,0,0,11,0,0,70863
370,Non Prevailing Wage,0,2,0,0,0,70861
371,Non Prevailing Wage,0,43,0,0,0,70858
372,Non Prevailing Wage,0,3,0,0,0,70853
373,Non Prevailing Wage,0,3,0,0,0,70853
374,Non Prevailing Wage,0,5,0,0,0,70856
375,Non Prevailing Wage,0,9,0,0,0,70849
376,Non Prevailing Wage,0,15,0,0,0,70851
377,Non Prevailing Wage,1,0,0,0,0,70665
378,Non Prevailing Wage,22,0,15,0,40,69813
379,Non Prevailing Wage,0,34,0,0,0,70488
380,Non Prevailing Wage,6,0,14,0,0,68867
381,Non Prevailing Wage,0,0,0,151,3,69261
382,Non Prevailing Wage,9,0,0,0,0,70839
383,Non Prevailing Wage,1,7,0,0,0,70839
384,Non Prevailing Wage,0,0,0,0,1,70663
385,Non Prevailing Wage,1,0,0,0,0,70666
386,Non Prevailing Wage,0,3,0,0,0,70846
387,Non Prevailing Wage,0,19,0,0,0,70848
388,Non Prevailing Wage,0,6,0,0,0,70843
389,Non Prevailing Wage,0,5,0,0,0,70844
390,Non Prevailing Wage,0,4,0,0,0,70845
391,Non Prevailing Wage,0,3,0,0,0,70842
392,Non Prevailing Wage,0,3,0,0,0,70841
393,Non Prevailing Wage,1,0,0,0,0,70659
394,Non Prevailing Wage,0,3,0,0,0,70837
395,Non Prevailing Wage,4,0,1,0,6,69817
396,Non Prevailing Wage,3,0,1,0,5,69817
397,Non Prevailing Wage,5,0,0,0,3,69817
398,Non Prevailing Wage,3,0,2,1,4,69817
399,Non Prevailing Wage,5,0,2,0,3,69817
400,Non Prevailing Wage,4,0,1,0,5,69817
401,Non Prevailing Wage,9,0,3,0,12,69817
402,Non Prevailing Wage,8,0,4,0,12,69817
403,Non Prevailing Wage,4,0,1,0,5,69817
404,Non Prevailing Wage,0,4,0,0,0,70836
405,Non Prevailing Wage,71,0,0,0,0,68797
406,Non Prevailing Wage,5,0,0,27,22,68866
407,Non Prevailing Wage,2,0,0,4,48,68866
408,Non Prevailing Wage,0,0,0,3,16,68866
409,Non Prevailing Wage,2,0,0,12,16,68866
410,Non Prevailing Wage,4,0,1,2,6,68866
411,Non Prevailing Wage,2,0,0,3,7,68866
412,Non Prevailing Wage,2,0,0,1,10,68866
413,Non Prevailing Wage,22,0,0,0,2,69305
414,Non Prevailing Wage,43,0,0,0,0,69330
415,Non Prevailing Wage,1,0,0,14,1,70165
416,Non Prevailing Wage,1,0,0,36,3,70165
417,Non Prevailing Wage,1,0,0,13,5,70165
418,Non Prevailing Wage,1,0,0,17,1,70165
419,Non Prevailing Wage,176,0,0,89,88,64886
420,Non Prevailing Wage,0,0,0,4,5,67746
421,Non Prevailing Wage,6,0,0,3,13,67746
422,Non Prevailing Wage,7,0,0,0,34,69020
423,Non Prevailing Wage,5,0,0,0,14,69020
